날짜,홈,어웨이,예측,확률,배당,결과,켈리 비율,진입,자본금 변화,날짜별 초기 잔액,잔액
11/28,Indiana Pacers,Portland Trail Blazers,Indiana Pacers,70.48991323,1.2,승,0.0,0.0,0.0,1167.311845,1167.311845
11/28,Dallas Mavericks,New York Knicks,Dallas Mavericks,51.04860663,2.5,승,0.1,116.7311845,175.0967768,1167.311845,1342.408622
11/28,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves,53.02804708,1.62,패,0.0,0.0,0.0,1167.311845,1342.408622
11/28,Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,73.91530871,1.3,승,0.0,0.0,0.0,1167.311845,1342.408622
11/28,New Orleans Pelicans,Toronto Raptors,Toronto Raptors,55.15480042,2.34,승,0.1,116.7311845,156.4197873,1167.311845,1498.828409
11/28,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,68.36045384,2.08,패,0.1,116.7311845,-116.7311845,1167.311845,1382.097225
11/28,Utah Jazz,Denver Nuggets,Denver Nuggets,71.87741995,1.22,승,0.0,0.0,0.0,1167.311845,1382.097225
11/28,Phoenix Suns,Brooklyn Nets,Phoenix Suns,64.2031014,1.27,패,0.0,0.0,0.0,1167.311845,1382.097225
11/28,Golden State Warriors,Oklahoma City Thunder,Oklahoma City Thunder,50.20230412,1.75,승,0.0,0.0,0.0,1167.311845,1382.097225
11/30,Charlotte Hornets,New York Knicks,New York Knicks,0.6928828358650208,1.12,승,0.0,0.0,0.0,1382.097225,1382.097225
11/30,Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers,0.6320654153823853,1.48,승,0.0,0.0,0.0,1382.097225,1382.097225
11/30,Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,0.8355273604393005,1.15,승,0.0,0.0,0.0,1382.097225,1382.097225
11/30,Minnesota Timberwolves,LA Clippers,Minnesota Timberwolves,0.538882851600647,1.44,승,0.0,0.0,0.0,1382.097225,1382.097225
11/30,Brooklyn Nets,Orlando Magic,Orlando Magic,0.544583261013031,1.34,승,0.0,0.0,0.0,1382.097225,1382.097225
11/30,Chicago Bulls,Boston Celtics,Boston Celtics,0.6245856881141663,1.14,승,0.0,0.0,0.0,1382.097225,1382.097225
11/30,Miami Heat,Toronto Raptors,Miami Heat,0.7915365695953369,1.29,승,0.1,138.2097225,40.07981953,1382.097225,1422.177045
11/30,Indiana Pacers,Detroit Pistons,Indiana Pacers,0.6550685167312622,1.48,패,0.0,0.0,0.0,1422.177045,1422.177045
11/30,Portland Trail Blazers,Sacramento Kings,Sacramento Kings,0.6846473217010498,1.36,패,0.0,0.0,0.0,1422.177045,1422.177045
11/30,Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder,0.6035106778144836,1.65,승,0.0,0.0,0.0,1422.177045,1422.177045
12/01,Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,0.5438905358314514,2.98,패,0.1,142.2177045,-142.2177045,1422.177045,1279.95934
12/01,Detroit Pistons,Philadelphia 76ers,Detroit Pistons,0.6745651960372925,1.85,패,0.1,127.995934,-127.995934,1279.95934,1151.963406
12/01,Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,0.8018418550491333,1.08,승,0.0,0.0,0.0,1151.963406,1151.963406
12/01,Phoenix Suns,Golden State Warriors,Golden State Warriors,0.5862395167350769,2.18,패,0.1,115.1963406,-115.1963406,1151.963406,1036.767066
12/01,Utah Jazz,Dallas Mavericks,Dallas Mavericks,0.7448322176933289,1.38,승,0.1,103.6767066,39.39714849,1036.767066,1076.164214
12/02,Brooklyn Nets,Orlando Magic,Orlando Magic,0.603795051574707,1.34,승,0.0,0.0,0.0,1076.164214,1076.164214
12/02,Memphis Grizzlies,Indiana Pacers,Memphis Grizzlies,0.740447998046875,1.38,패,10.0,107.6164214,-107.6164214,1076.164214,968.5477926
12/02,New York Knicks,New Orleans Pelicans,New York Knicks,0.8049648404121399,1.14,승,0.0,0.0,0.0,968.5477926,968.5477926
12/02,Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,0.5849980115890503,2.0,패,10.0,96.85477926,-96.85477926,968.5477926,871.6930133
12/02,Toronto Raptors,Miami Heat,Miami Heat,0.5248010158538818,1.53,패,0.0,0.0,0.0,871.6930133,871.6930133
12/02,Houston Rockets,Oklahoma City Thunder,Houston Rockets,0.5056374073028564,2.1,패,10.0,87.16930133,-87.16930133,871.6930133,784.523712
12/02,Utah Jazz,Los Angeles Lakers,Los Angeles Lakers,0.6963968276977539,1.31,승,0.0,0.0,0.0,784.523712,784.523712
12/02,Sacramento Kings,San Antonio Spurs,Sacramento Kings,0.5746330618858337,1.4,패,0.0,0.0,0.0,784.523712,784.523712
12/02,Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,0.6721597909927368,1.34,승,0.0,0.0,0.0,784.523712,784.523712
12/02,LA Clippers,Denver Nuggets,LA Clippers,0.5457349419593811,2.22,패,10.0,78.4523712,-78.4523712,784.523712,706.0713408
12/03,Atlanta Hawks,New Orleans Pelicans,Atlanta Hawks,0.7358695268630981,1.22,승,0.0,0.0,0.0,706.0713408,706.0713408
12/03,Boston Celtics,Miami Heat,Boston Celtics,0.8066224455833435,1.19,승,0.0,0.0,0.0,706.0713408,706.0713408
12/03,Chicago Bulls,Brooklyn Nets,Chicago Bulls,0.5162237286567688,1.42,승,0.0,0.0,0.0,706.0713408,706.0713408
12/03,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,0.5604197382926941,1.4,승,0.0,0.0,0.0,706.0713408,706.0713408
